Type	Track_id	Similarity	Link	Genre	Title	Artist	Album	Score	Main_id	Evaluator
Similar_3	25170	VS			Stay Down Here Where You Belong	Arthur Fields	Antique Phonograph Music Program 01/05/2010	0.93	20736	2
Similar_4	4937	VS			letter ys	The Conet Project	The Conet Project	0.93	20736	2
Similar_5	20738	VS			Longing For Home	George Stehl			20736	2
Main	20043	Main	https://melody.dvstr.net/song/20043	Country	Drop Down Low	Jawbone	Phoning It In 08/18/05	1	20043	2
Similar_1	20042	VS			Bullcat	Jawbone	Phoning It In 08/18/05	0.99	20043	2
Similar_2	20036	VS			Saucy Sauce	Jawbone	Phoning It In 08/18/05	0.97	20043	2
Similar_3	20039	VS			Reap What You Sow	Jawbone	Phoning It In 08/18/05	0.97	20043	2
Similar_4	20045	VS			Dose of Powder	Jawbone	Phoning It In 08/18/05	0.96	20043	2
Similar_5	20041	VS			Mahwah	Jawbone	Phoning It In 08/18/05	0.94	20043	2
Main	42642	Main	https://melody.dvstr.net/song/42642	Pop	Trip To Mongolia	Keshco	The Power Of Hot Air	1	42642	2
Similar_1	43104	N			Brap! Brap! Belated Blorp!	Frump! Strumpet! Strife!	Frump! Strumpet! Strife!	0.91	42642	2
Similar_2	38528	D			Docktor	Slipper	Attack of the Killer Lobsters	0.89	42642	2
Similar_3	16621	N			Mas o No Mas	Victrola	Flores		42642	2
Similar_4	8261	S			Black Diamond	Curtis Eller	Live at WFMU on Irene Trudel's show 7/28/08	0.89	42642	2
Similar_5	80428	S			This Is My House	Amitron_7	Try For Next Stage Free	0.89	42642	2
Main	30438	Main	https://melody.dvstr.net/song/30438	Easy Listening	You're a computer	Tortue Super Sonic	Neogrotesque	1	30438	2
Similar_1	129484	VS			Jesus Wore Flip-Flops	Alex Battles & the Engelberts	Live at WFMU's Monty Hall		30438	2
Similar_2	118521	N			attitudes	LE CHEVALIER DE RINCHY	Jingles la radio du MOMI	0.94	30438	2
Similar_3	58312	S			Noticeable Hum	Vialka	La Poursuite de l'Excellence	0.94	30438	2
Similar_4	53674	VS			RSJFoundation live at Pacific Parc	Rotterdam Ska Jazz Foundation	RSJ Live at Pacific Parc 16/10/2009	0.94	30438	2
Similar_5	118096	D			Baroque Inspiral	Asleep With Headphones	Sectioned v5.0	0.94	30438	2
Main	33820	Main	https://melody.dvstr.net/song/33820	Electronic	E0S	Undress Béton	Handmade Temper	1	33820	2
Similar_1	42307	S			Kanopedia III	Lechones Sangrientos	Kaseum	0.91	33820	2
Similar_2	29323	D			gigot dating	Rock Monsieur	Ton caca pue la merde	0.91	33820	2
Similar_3	143813	N			23	Parrhesia Sound System	Necktar Volume 3	0.89	33820	2
Similar_4	34170	D			Theme From	Club Foot Orchestra	Club Foot	0.89	33820	2
Similar_5	106524	N			Somewhere In My Mind	Apache Tomcat	What's Later?	0.89	33820	2
Main	135006	Main	https://melody.dvstr.net/song/135006	Folk	Over the Branches	Jackson Grimm	The Airtime sessions	1	135006	2
Similar_1	23025	VS			Show Off	Jack and the Pulpits	Francypants	0.96	135006	2
Similar_2	65092	S			Valentine	Jeff Eliassen	Sugars Dream	0.96	135006	2
Similar_3	126780	D			Spare Time	Connie Acher & Jelly	Live on WFMU's Busy Doing Nothing with Charlie: 17 July 2000	0.95	135006	2
Similar_4	138943	VS			Old Friend	Not From Georgia	Willie's Gone	0.95	135006	2
Similar_5	120097	S			Maybe	Roy Chicky Arad featuring Salomon King	Comfort Cake	0.95	135006	2
Main	68456	Main	https://melody.dvstr.net/song/68456	Hip-Hop	Mycorrhiza	Pariah Carey	Rhizome EP	1	68456	2
Similar_1	23703	N			Aloha from Corsica	Vulvinia & Jambonstar	Devenir-Hormonal	0.94	68456	2
Similar_2	43759	D			Avec Nouveau	Sans Blanc	Modluv	0.93	68456	2
Similar_3	670	S			Triflin	Fanatic	Change Thoughts (radio edit)	0.93	68456	2
Similar_4	111364	N			Fuckedupyou	Sinusjog	Demo: Pellekes	0.93	68456	2
Similar_5	119415	D			Lip-synching at Zero Gravity	Eddie The Rat	Lip-Synching At Zero Gravity	0.92	68456	2
Main	111752	Main	https://melody.dvstr.net/song/111752	Experimental	Carbon Unit Overload	Lekktro Flight Project	Compilation Album	1	111752	2
Similar_1	85867	S			Track 3	Telesthesia	Live on BSR on 4/7/13	0.89	111752	2
Similar_2	13177	N			Osxmas	Blevin Blectum	Talon Slalom	0.89	111752	2
Similar_3	66815	S			Ataxia	Tab & Anitek	Tab & Anitek: Project Monarch	0.89	111752	2
Similar_4	142713	N			In girum imus nocte ecce et consumimur igni	Vivid Tribe Of Psychics	Necktar Volume 8	0.89	111752	2
Similar_5	46509	D			Flying Ants	Phenoplastic	netlabelism.com - Compilation 03/11	0.89	111752	2
Main	147895	Main	https://melody.dvstr.net/song/147895	Instrumental	Full Stop	Ketsa	End is Beginning	1	147895	2
Similar_1	116170	VS			Broken (is everyone here)	Ketsa	What's Without's Within	0.92	147895	2
Similar_2	132755	S			Witch Laws	Dlay	Elemental	0.92	147895	2
Similar_3	67840	S			Brazilian Wax On Wax Off	krackatoa	The Universal Fluff Theory	0.92	147895	2
Similar_4	154791	D			Laberinto del Insomne Enigma	Humanfobia	Universo Bifurcado	0.91	147895	2
Similar_5	34748	N			The I-5	Flugeldar	Brothers		147895	2
Main	20433	Main	https://melody.dvstr.net/song/20433	International	Drifting	Midival Punditz	Hello Hello	1	20433	3
Similar_1	133066	S			Nuevos ritos	Melange	Melange	0.95	20433	3
Similar_2	109473	S			Music Industry Event	The Pink Tiles	Live on WFMU's Surface Noise with Joe McGasko: Oct 2	0.93	20433	3
Similar_3	66326	S			E-Love	The Upsidedown	Dead Bees records label sampler #11	0.93	20433	3
Similar_4	148620	N			Decay of	2L8	The Answer	0.93	20433	3
Similar_5	64297	S			The Fantastic Doctrine	The New Mystikal Troubadours	III	0.93	20433	3
Main	92831	Main	https://melody.dvstr.net/song/92831	Blues	R. I. P.	Mr. & Mrs. Smith	October	1	92831	3
Similar_1	104710	VS			Stuck there now	Mr. & Mrs. Smith	Pearls of Wisdom	0.95	92831	3
Similar_2	92841	VS			Weekend Coma	Mr. & Mrs. Smith	October	0.94	92831	3
Similar_3	90040	VS			20/40	Mr. & Mrs. Smith	August	0.94	92831	3
Similar_4	91531	VS			Cerebral Yuck	Mr. & Mrs. Smith	September	0.94	92831	3
Similar_5	104711	VS			This old dog has new tricks	Mr. & Mrs. Smith	Pearls of Wisdom	0.94	92831	3
Main	90915	Main	https://melody.dvstr.net/song/90915	Jazz	Plunky	Jared C. Balogh	Split with Koobaatoo Asparagus	1	90915	3
Similar_1	124533	N			Opium	Leisure-B	Live In Space	0.92	90915	3
Similar_2	132266	N			ab normal	W.H.Y.	We Hate You	0.91	90915	3
Similar_3	32509	N			Motego	Brainpain	Terra Firma	0.91	90915	3
Similar_4	27794	D			He-Man (Synthpop mix)	Zapac	Secret Mixter Selections March 2010	0.91	90915	3
Similar_5	24455	D			Radio edit	DRONE	Hifi Power Break Pop	0.91	90915	3
Main	151717	Main	https://melody.dvstr.net/song/151717	Classical	? ????????	Kosta T	??????	1	151717	3
Similar_1	144765	VS			??????	Kosta T	????	0.94	151717	3
Similar_2	151720	VS			??????	Kosta T	??????	0.94	151717	3
Similar_3	145662	VS			????	Kosta T	???	0.94	151717	3
Similar_4	132104	VS			??????.....	Kosta T	?????...	0.94	151717	3
Similar_5	133192	VS			??????.....	Kosta T	?????...	0.94	151717	3
Main	20736	Main	https://melody.dvstr.net/song/20736	Old-Time / Historic	Take It 'Cause It's All Yours	Edith Wilson and Johnny Dunn's Original Jazz Hounds	Antique Phonograph Music Program 07/14/2009	1	20736	3
Similar_1	20135	VS			Some Boy	Kate Wiley	Antique Phonograph Music Program 03/30/1999	0.94	20736	3
Similar_2	20741	VS			Evening Chimes	Venetian Trio	Antique Phonograph Music Program 07/14/2009	0.94	20736	3
Similar_3	25170	VS			Stay Down Here Where You Belong	Arthur Fields	Antique Phonograph Music Program 01/05/2010	0.93	20736	3
Similar_4	4937	VS			letter ys	The Conet Project	The Conet Project	0.93	20736	3
Similar_5	20738	VS			Longing For Home	George Stehl		0.93	20736	3
Main	20043	Main	https://melody.dvstr.net/song/20043	Country	Drop Down Low	Jawbone	Phoning It In 08/18/05	1	20043	3
Similar_1	20042	VS			Bullcat	Jawbone	Phoning It In 08/18/05	0.99	20043	3
Similar_2	20036	VS			Saucy Sauce	Jawbone	Phoning It In 08/18/05	0.97	20043	3
Similar_3	20039	VS			Reap What You Sow	Jawbone	Phoning It In 08/18/05	0.97	20043	3
Similar_4	20045	VS			Dose of Powder	Jawbone	Phoning It In 08/18/05	0.96	20043	3
Similar_5	20041	VS			Mahwah	Jawbone	Phoning It In 08/18/05	0.94	20043	3
Main	42642	Main	https://melody.dvstr.net/song/42642	Pop	Trip To Mongolia	Keshco	The Power Of Hot Air	1	42642	3
Similar_1	43104	N			Brap! Brap! Belated Blorp!	Frump! Strumpet! Strife!	Frump! Strumpet! Strife!	0.91	42642	3
Similar_2	38528	S			Docktor	Slipper	Attack of the Killer Lobsters	0.89	42642	3
Similar_3	16621	D			Mas o No Mas	Victrola	Flores		42642	3
Similar_4	8261	D			Black Diamond	Curtis Eller	Live at WFMU on Irene Trudel's show 7/28/08	0.89	42642	3
Similar_5	80428	D			This Is My House	Amitron_7	Try For Next Stage Free	0.89	42642	3
Main	30438	Main	https://melody.dvstr.net/song/30438	Easy Listening	You're a computer	Tortue Super Sonic	Neogrotesque	1	30438	3
Similar_1	129484	N			Jesus Wore Flip-Flops	Alex Battles & the Engelberts	Live at WFMU's Monty Hall		30438	3
Similar_2	118521	D			attitudes	LE CHEVALIER DE RINCHY	Jingles la radio du MOMI	0.94	30438	3
Similar_3	58312	D			Noticeable Hum	Vialka	La Poursuite de l'Excellence	0.94	30438	3
Similar_4	53674	S			RSJFoundation live at Pacific Parc	Rotterdam Ska Jazz Foundation	RSJ Live at Pacific Parc 16/10/2009	0.94	30438	3
Similar_5	118096	S			Baroque Inspiral	Asleep With Headphones	Sectioned v5.0	0.94	30438	3
Main	33820	Main	https://melody.dvstr.net/song/33820	Electronic	E0S	Undress Béton	Handmade Temper	1	33820	3
Similar_1	42307	S			Kanopedia III	Lechones Sangrientos	Kaseum	0.91	33820	3
Similar_2	29323	D			gigot dating	Rock Monsieur	Ton caca pue la merde	0.91	33820	3
Similar_3	143813	N			23	Parrhesia Sound System	Necktar Volume 3	0.89	33820	3
Similar_4	34170	N			Theme From	Club Foot Orchestra	Club Foot	0.89	33820	3
Similar_5	106524	S			Somewhere In My Mind	Apache Tomcat	What's Later?	0.89	33820	3
Main	135006	Main	https://melody.dvstr.net/song/135006	Folk	Over the Branches	Jackson Grimm	The Airtime sessions	1	135006	3
Similar_1	23025	VS			Show Off	Jack and the Pulpits	Francypants	0.96	135006	3
Similar_2	65092	VS			Valentine	Jeff Eliassen	Sugars Dream	0.96	135006	3
Similar_3	126780	S			Spare Time	Connie Acher & Jelly	Live on WFMU's Busy Doing Nothing with Charlie: 17 July 2000	0.95	135006	3
Similar_4	138943	VS			Old Friend	Not From Georgia	Willie's Gone	0.95	135006	3
Similar_5	120097	D			Maybe	Roy Chicky Arad featuring Salomon King	Comfort Cake	0.95	135006	3
Main	68456	Main	https://melody.dvstr.net/song/68456	Hip-Hop	Mycorrhiza	Pariah Carey	Rhizome EP	1	68456	3
Similar_1	23703	N			Aloha from Corsica	Vulvinia & Jambonstar	Devenir-Hormonal	0.94	68456	3
Similar_2	43759	N			Avec Nouveau	Sans Blanc	Modluv	0.93	68456	3
Similar_3	670	D			Triflin	Fanatic	Change Thoughts (radio edit)	0.93	68456	3
Similar_4	111364	S			Fuckedupyou	Sinusjog	Demo: Pellekes	0.93	68456	3
Similar_5	119415	D			Lip-synching at Zero Gravity	Eddie The Rat	Lip-Synching At Zero Gravity	0.92	68456	3
Main	111752	Main	https://melody.dvstr.net/song/111752	Experimental	Carbon Unit Overload	Lekktro Flight Project	Compilation Album	1	111752	3
Similar_1	85867	S			Track 3	Telesthesia	Live on BSR on 4/7/13	0.89	111752	3
Similar_2	13177	N			Osxmas	Blevin Blectum	Talon Slalom	0.89	111752	3
Similar_3	66815	VS			Ataxia	Tab & Anitek	Tab & Anitek: Project Monarch	0.89	111752	3
Similar_4	142713	D			In girum imus nocte ecce et consumimur igni	Vivid Tribe Of Psychics	Necktar Volume 8	0.89	111752	3
Similar_5	46509	S			Flying Ants	Phenoplastic	netlabelism.com - Compilation 03/11	0.89	111752	3
Main	147895	Main	https://melody.dvstr.net/song/147895	Instrumental	Full Stop	Ketsa	End is Beginning	1	147895	3
Similar_1	116170	S			Broken (is everyone here)	Ketsa	What's Without's Within	0.92	147895	3
Similar_2	132755	VS			Witch Laws	Dlay	Elemental	0.92	147895	3
Similar_3	67840	S			Brazilian Wax On Wax Off	krackatoa	The Universal Fluff Theory	0.92	147895	3
Similar_4	154791	N			Laberinto del Insomne Enigma	Humanfobia	Universo Bifurcado	0.91	147895	3
Similar_5	34748	D			The I-5	Flugeldar	Brothers	0.91	147895	3
Main	20433	Main	https://melody.dvstr.net/song/20433	International	Drifting	Midival Punditz	Hello Hello	1	20433	1
Similar_1	133066	S			Nuevos ritos	Melange	Melange	0.95	20433	1
Similar_2	109473	S			Music Industry Event	The Pink Tiles	Live on WFMU's Surface Noise with Joe McGasko: Oct 2		20433	1
Similar_3	66326	N			E-Love	The Upsidedown	Dead Bees records label sampler #11	0.93	20433	1
Similar_4	148620	N			Decay of	2L8	The Answer	0.93	20433	1
Similar_5	64297	VS			The Fantastic Doctrine	The New Mystikal Troubadours	III	0.93	20433	1
Main	92831	Main	https://melody.dvstr.net/song/92831	Blues	R. I. P.	Mr. & Mrs. Smith	October	1	92831	1
Similar_1	104710	VS			Stuck there now	Mr. & Mrs. Smith	Pearls of Wisdom	0.95	92831	1
Similar_2	92841	VS			Weekend Coma	Mr. & Mrs. Smith	October	0.94	92831	1
Similar_3	90040	VS			20/40	Mr. & Mrs. Smith	August	0.94	92831	1
Similar_4	91531	VS			Cerebral Yuck	Mr. & Mrs. Smith	September	0.94	92831	1
Similar_5	104711	VS			This old dog has new tricks	Mr. & Mrs. Smith	Pearls of Wisdom	0.94	92831	1
Main	90915	Main	https://melody.dvstr.net/song/90915	Jazz	Plunky	Jared C. Balogh	Split with Koobaatoo Asparagus	1	90915	1
Similar_1	124533	D			Opium	Leisure-B	Live In Space	0.92	90915	1
Similar_2	132266	D			ab normal	W.H.Y.	We Hate You	0.91	90915	1
Similar_3	32509	N			Motego	Brainpain	Terra Firma	0.91	90915	1
Similar_4	27794	D			He-Man (Synthpop mix)	Zapac	Secret Mixter Selections March 2010	0.91	90915	1
Similar_5	24455	D			Radio edit	DRONE	Hifi Power Break Pop	0.91	90915	1
Main	151717	Main	https://melody.dvstr.net/song/151717	Classical	? ????????	Kosta T	??????	1	151717	1
Similar_1	144765	VS			??????	Kosta T	????	0.94	151717	1
Similar_2	151720	VS			??????	Kosta T	??????	0.94	151717	1
Similar_3	145662	VS			????	Kosta T	???	0.94	151717	1
Similar_4	132104	VS			??????.....	Kosta T	?????...	0.94	151717	1
Similar_5	133192	VS			??????.....	Kosta T	?????...	0.94	151717	1
Main	20736	Main	https://melody.dvstr.net/song/20736	Old-Time / Historic	Take It 'Cause It's All Yours	Edith Wilson and Johnny Dunn's Original Jazz Hounds	Antique Phonograph Music Program 07/14/2009	1	20736	1
Similar_1	20135	VS			Some Boy	Kate Wiley	Antique Phonograph Music Program 03/30/1999	0.94	20736	1
Similar_2	20741	VS			Evening Chimes	Venetian Trio	Antique Phonograph Music Program 07/14/2009	0.94	20736	1
Similar_3	25170	VS			Stay Down Here Where You Belong	Arthur Fields	Antique Phonograph Music Program 01/05/2010	0.93	20736	1
Similar_4	4937	VS			letter ys	The Conet Project	The Conet Project	0.93	20736	1
Similar_5	20738	S			Longing For Home	George Stehl			20736	1
Main	20043	Main	https://melody.dvstr.net/song/20043	Country	Drop Down Low	Jawbone	Phoning It In 08/18/05	1	20043	1
Similar_1	20042	VS			Bullcat	Jawbone	Phoning It In 08/18/05	0.99	20043	1
Similar_2	20036	VS			Saucy Sauce	Jawbone	Phoning It In 08/18/05	0.97	20043	1
Similar_3	20039	VS			Reap What You Sow	Jawbone	Phoning It In 08/18/05	0.97	20043	1
Similar_4	20045	VS			Dose of Powder	Jawbone	Phoning It In 08/18/05	0.96	20043	1
Similar_5	20041	VS			Mahwah	Jawbone	Phoning It In 08/18/05	0.94	20043	1
Main	42642	Main	https://melody.dvstr.net/song/42642	Pop	Trip To Mongolia	Keshco	The Power Of Hot Air	1	42642	1
Similar_1	43104	N			Brap! Brap! Belated Blorp!	Frump! Strumpet! Strife!	Frump! Strumpet! Strife!	0.91	42642	1
Similar_2	38528	S			Docktor	Slipper	Attack of the Killer Lobsters	0.89	42642	1
Similar_3	16621	D			Mas o No Mas	Victrola	Flores		42642	1
Similar_4	8261	D			Black Diamond	Curtis Eller	Live at WFMU on Irene Trudel's show 7/28/08	0.89	42642	1
Similar_5	80428	S			This Is My House	Amitron_7	Try For Next Stage Free	0.89	42642	1
Main	30438	Main	https://melody.dvstr.net/song/30438	Easy Listening	You're a computer	Tortue Super Sonic	Neogrotesque	1	30438	1
Similar_1	129484	N			Jesus Wore Flip-Flops	Alex Battles & the Engelberts	Live at WFMU's Monty Hall		30438	1
Similar_2	118521	N			attitudes	LE CHEVALIER DE RINCHY	Jingles la radio du MOMI	0.94	30438	1
Similar_3	58312	S			Noticeable Hum	Vialka	La Poursuite de l'Excellence	0.94	30438	1
Similar_4	53674	S			RSJFoundation live at Pacific Parc	Rotterdam Ska Jazz Foundation	RSJ Live at Pacific Parc 16/10/2009	0.94	30438	1
Similar_5	118096	N			Baroque Inspiral	Asleep With Headphones	Sectioned v5.0	0.94	30438	1
Main	33820	Main	https://melody.dvstr.net/song/33820	Electronic	E0S	Undress Béton	Handmade Temper	1	33820	1
Similar_1	42307	N			Kanopedia III	Lechones Sangrientos	Kaseum	0.91	33820	1
Similar_2	29323	S			gigot dating	Rock Monsieur	Ton caca pue la merde	0.91	33820	1
Similar_3	143813	N			23	Parrhesia Sound System	Necktar Volume 3	0.89	33820	1
Similar_4	34170	S			Theme From	Club Foot Orchestra	Club Foot	0.89	33820	1
Similar_5	106524	N			Somewhere In My Mind	Apache Tomcat	What's Later?	0.89	33820	1
Main	135006	Main	https://melody.dvstr.net/song/135006	Folk	Over the Branches	Jackson Grimm	The Airtime sessions	1	135006	1
Similar_1	23025	S			Show Off	Jack and the Pulpits	Francypants	0.96	135006	1
Similar_2	65092	S			Valentine	Jeff Eliassen	Sugars Dream	0.96	135006	1
Similar_3	126780	S			Spare Time	Connie Acher & Jelly	Live on WFMU's Busy Doing Nothing with Charlie: 17 July 2000	0.95	135006	1
Similar_4	138943	S			Old Friend	Not From Georgia	Willie's Gone	0.95	135006	1
Similar_5	120097	N			Maybe	Roy Chicky Arad featuring Salomon King	Comfort Cake	0.95	135006	1
Main	68456	Main	https://melody.dvstr.net/song/68456	Hip-Hop	Mycorrhiza	Pariah Carey	Rhizome EP	1	68456	1
Similar_1	23703	S			Aloha from Corsica	Vulvinia & Jambonstar	Devenir-Hormonal	0.94	68456	1
Similar_2	43759	S			Avec Nouveau	Sans Blanc	Modluv	0.93	68456	1
Similar_3	670	D			Triflin	Fanatic	Change Thoughts (radio edit)	0.93	68456	1
Similar_4	111364	N			Fuckedupyou	Sinusjog	Demo: Pellekes	0.93	68456	1
Similar_5	119415	S			Lip-synching at Zero Gravity	Eddie The Rat	Lip-Synching At Zero Gravity	0.92	68456	1
Main	111752	Main	https://melody.dvstr.net/song/111752	Experimental	Carbon Unit Overload	Lekktro Flight Project	Compilation Album	1	111752	1
Similar_1	85867	S			Track 3	Telesthesia	Live on BSR on 4/7/13	0.89	111752	1
Similar_2	13177	D			Osxmas	Blevin Blectum	Talon Slalom	0.89	111752	1
Similar_3	66815	S			Ataxia	Tab & Anitek	Tab & Anitek: Project Monarch	0.89	111752	1
Similar_4	142713	D			In girum imus nocte ecce et consumimur igni	Vivid Tribe Of Psychics	Necktar Volume 8	0.89	111752	1
Similar_5	46509	S			Flying Ants	Phenoplastic	netlabelism.com - Compilation 03/11	0.89	111752	1
Main	147895	Main	https://melody.dvstr.net/song/147895	Instrumental	Full Stop	Ketsa	End is Beginning	1	147895	1
Similar_1	116170	S			Broken (is everyone here)	Ketsa	What's Without's Within	0.92	147895	1
Similar_2	132755	VS			Witch Laws	Dlay	Elemental	0.92	147895	1
Similar_3	67840	S			Brazilian Wax On Wax Off	krackatoa	The Universal Fluff Theory	0.92	147895	1
Similar_4	154791	D			Laberinto del Insomne Enigma	Humanfobia	Universo Bifurcado	0.91	147895	1
Similar_5	34748	S			The I-5	Flugeldar	Brothers		147895	1
