Type	Track_id	Similarity	Link	Genre	Title	Artist	Album	Score	Main_id	Evaluator
Main	20736	Main	https://melody.dvstr.net/song/20736	Old-Time / Historic	Take It 'Cause It's All Yours	Edith Wilson and Johnny Dunn's Original Jazz Hounds	Antique Phonograph Music Program 07/14/2009	1	20736	1
Similar_1	20135	VS			Some Boy	Kate Wiley	Antique Phonograph Music Program 03/30/1999	0.94	20736	1
Similar_2	20741	VS			Evening Chimes	Venetian Trio	Antique Phonograph Music Program 07/14/2009	0.94	20736	1
Similar_3	25170	VS			Stay Down Here Where You Belong	Arthur Fields	Antique Phonograph Music Program 01/05/2010	0.93	20736	1
Similar_4	4937	VS			letter ys	The Conet Project	The Conet Project	0.93	20736	1
Similar_5	20738	S			Longing For Home	George Stehl			20736	1
Main	20043	Main	https://melody.dvstr.net/song/20043	Country	Drop Down Low	Jawbone	Phoning It In 08/18/05	1	20043	1
Similar_1	20042	VS			Bullcat	Jawbone	Phoning It In 08/18/05	0.99	20043	1
Similar_2	20036	VS			Saucy Sauce	Jawbone	Phoning It In 08/18/05	0.97	20043	1
Similar_3	20039	VS			Reap What You Sow	Jawbone	Phoning It In 08/18/05	0.97	20043	1
Similar_4	20045	VS			Dose of Powder	Jawbone	Phoning It In 08/18/05	0.96	20043	1
Similar_5	20041	VS			Mahwah	Jawbone	Phoning It In 08/18/05	0.94	20043	1
Main	42642	Main	https://melody.dvstr.net/song/42642	Pop	Trip To Mongolia	Keshco	The Power Of Hot Air	1	42642	1
Similar_1	43104	N			Brap! Brap! Belated Blorp!	Frump! Strumpet! Strife!	Frump! Strumpet! Strife!	0.91	42642	1
Similar_2	38528	S			Docktor	Slipper	Attack of the Killer Lobsters	0.89	42642	1
Similar_3	16621	D			Mas o No Mas	Victrola	Flores		42642	1
Similar_4	8261	D			Black Diamond	Curtis Eller	Live at WFMU on Irene Trudel's show 7/28/08	0.89	42642	1
Similar_5	80428	S			This Is My House	Amitron_7	Try For Next Stage Free	0.89	42642	1
Main	30438	Main	https://melody.dvstr.net/song/30438	Easy Listening	You're a computer	Tortue Super Sonic	Neogrotesque	1	30438	1
Similar_1	129484	N			Jesus Wore Flip-Flops	Alex Battles & the Engelberts	Live at WFMU's Monty Hall		30438	1
Similar_2	118521	N			attitudes	LE CHEVALIER DE RINCHY	Jingles la radio du MOMI	0.94	30438	1
Similar_3	58312	S			Noticeable Hum	Vialka	La Poursuite de l'Excellence	0.94	30438	1
Similar_4	53674	S			RSJFoundation live at Pacific Parc	Rotterdam Ska Jazz Foundation	RSJ Live at Pacific Parc 16/10/2009	0.94	30438	1
Similar_5	118096	N			Baroque Inspiral	Asleep With Headphones	Sectioned v5.0	0.94	30438	1
Main	33820	Main	https://melody.dvstr.net/song/33820	Electronic	E0S	Undress Béton	Handmade Temper	1	33820	1
Similar_1	42307	N			Kanopedia III	Lechones Sangrientos	Kaseum	0.91	33820	1
Similar_2	29323	S			gigot dating	Rock Monsieur	Ton caca pue la merde	0.91	33820	1
Similar_3	143813	N			23	Parrhesia Sound System	Necktar Volume 3	0.89	33820	1
Similar_4	34170	S			Theme From	Club Foot Orchestra	Club Foot	0.89	33820	1
Similar_5	106524	N			Somewhere In My Mind	Apache Tomcat	What's Later?	0.89	33820	1
Main	135006	Main	https://melody.dvstr.net/song/135006	Folk	Over the Branches	Jackson Grimm	The Airtime sessions	1	135006	1
Similar_1	23025	S			Show Off	Jack and the Pulpits	Francypants	0.96	135006	1
Similar_2	65092	S			Valentine	Jeff Eliassen	Sugars Dream	0.96	135006	1
Similar_3	126780	S			Spare Time	Connie Acher & Jelly	Live on WFMU's Busy Doing Nothing with Charlie: 17 July 2000	0.95	135006	1
Similar_4	138943	S			Old Friend	Not From Georgia	Willie's Gone	0.95	135006	1
Similar_5	120097	N			Maybe	Roy Chicky Arad featuring Salomon King	Comfort Cake	0.95	135006	1
Main	68456	Main	https://melody.dvstr.net/song/68456	Hip-Hop	Mycorrhiza	Pariah Carey	Rhizome EP	1	68456	1
Similar_1	23703	S			Aloha from Corsica	Vulvinia & Jambonstar	Devenir-Hormonal	0.94	68456	1
Similar_2	43759	S			Avec Nouveau	Sans Blanc	Modluv	0.93	68456	1
Similar_3	670	D			Triflin	Fanatic	Change Thoughts (radio edit)	0.93	68456	1
Similar_4	111364	N			Fuckedupyou	Sinusjog	Demo: Pellekes	0.93	68456	1
Similar_5	119415	S			Lip-synching at Zero Gravity	Eddie The Rat	Lip-Synching At Zero Gravity	0.92	68456	1
Main	111752	Main	https://melody.dvstr.net/song/111752	Experimental	Carbon Unit Overload	Lekktro Flight Project	Compilation Album	1	111752	1
Similar_1	85867	S			Track 3	Telesthesia	Live on BSR on 4/7/13	0.89	111752	1
Similar_2	13177	D			Osxmas	Blevin Blectum	Talon Slalom	0.89	111752	1
Similar_3	66815	S			Ataxia	Tab & Anitek	Tab & Anitek: Project Monarch	0.89	111752	1
Similar_4	142713	D			In girum imus nocte ecce et consumimur igni	Vivid Tribe Of Psychics	Necktar Volume 8	0.89	111752	1
Similar_5	46509	S			Flying Ants	Phenoplastic	netlabelism.com - Compilation 03/11	0.89	111752	1
Main	147895	Main	https://melody.dvstr.net/song/147895	Instrumental	Full Stop	Ketsa	End is Beginning	1	147895	1
Similar_1	116170	S			Broken (is everyone here)	Ketsa	What's Without's Within	0.92	147895	1
Similar_2	132755	VS			Witch Laws	Dlay	Elemental	0.92	147895	1
Similar_3	67840	S			Brazilian Wax On Wax Off	krackatoa	The Universal Fluff Theory	0.92	147895	1
Similar_4	154791	D			Laberinto del Insomne Enigma	Humanfobia	Universo Bifurcado	0.91	147895	1
Similar_5	34748	S			The I-5	Flugeldar	Brothers		147895	1
Main	10721	Main	https://melody.dvstr.net/song/10721	Avant-Garde	Insights and observations	Noteherder &amp; McCloud	The Tail	1	10721	1
Similar_1	12537	S			Maree Lunaire	Smoking After	netBloc Vol. 12: Anaxagoras	0.93	10721	1
Similar_2	48707	D			Love Is Not For Girls And Boys	R. Stevie Moore	Disorganized Overactivity or Tabitha Soren	0.91	10721	1
Similar_3	57575	S			Fingermouse And The Dirty Bush	Radioactive Sparrow & Brown Torpedo	MASTERBEAST VOLUME 1	0.91	10721	1
Similar_4	53955	S			Soledad is the lithograph surgeon	Dissolved	Vaporous Weeks	0.91	10721	1
Similar_5	82417	S			Head Thinner	Bruce Hart	Songs for Music	0.91	10721	1
Main	51608	Main	https://melody.dvstr.net/song/51608	Disco	Fast Lane to Jupiter	Ergo Phizmiz	Ergo's Disco Van	1	51608	1
Similar_1	50643	S			Betcha Don't Know Where My Mommy Shops	The Bran Flakes	Shreds Volume 1	0.95	51608	1
Similar_2	29723	S			Transcriptions	Lullabelle	The Trial of Florasador Gehrboyzel	0.95	51608	1
Similar_3	64650	D			Improv/An American Anthem	Serious Fun	Live at WFMU on Irene Trudel's Show May 7th 2012	0.95	51608	1
Similar_4	35593	D			Too Noisy to to Square Square	Mannlicher Carcano	Mannlicher Carcano	0.95	51608	1
Similar_5	108799	S			ABCs	D3Zs	Doin' The Raps XE	0.95	51608	1
Main	91402	Main	https://melody.dvstr.net/song/91402		When You Come	Xenia Rubinos	Live on WFMU's Irene Trudel's Show - August 12		91402	1
Similar_1	107413	D			sixspot burnet	grykes	sixspot burnet	0.95	91402	1
Similar_2	49044	S			From out of the uniforms came chaos / Sexton Ming & James Tregesgis	Sexton Ming	A Lifetime of Nervous Gut Aches Vol. 4	0.92	91402	1
Similar_3	77180	D			Soroya	Peter DiPhillips	Midnight Sun	0.92	91402	1
Similar_4	152323	S			Calm Dub	Kai Nobuko	My Wired Soul	0.92	91402	1
Similar_5	67534	D			I still think of you sometimes				91402	1
Main	46149	Main	https://melody.dvstr.net/song/46149		Nerve Of People	Soft Circle	Live at WFMU on Marty McSorley's Show		46149	1
Similar_1	52274	N			Full Speed	Los Steaks	Something Special	0.91	46149	1
Similar_2	129428	D			Trains	Michael Chapman	Live at WFMU's Monty Hall: Oct 18		46149	1
Similar_3	131514	S			Ostinaut	Wume	Live on WFMU's 100% Whatever with Mary Wing: Nov 29		46149	1
Similar_4	422	N			Track3	Brian Joseph Davis	Original Soundtrack: Work for 20 DVD Players	0.9	46149	1
Similar_5	83322	S			Our Last Supper	No Monster Club	Posthumous Hits	0.9	46149	1
Main	79563	Main	https://melody.dvstr.net/song/79563		Never Find Me	Personal and the Pizzas	Live on WFMU's Cherry Blossom Clinic - May 7		79563	1
Similar_1	79564	VS			I Don't Wanna Be No Personal Pizza	Personal and the Pizzas	Live on WFMU's Cherry Blossom Clinic - May 7		79563	1
Similar_2	79561	VS			Joanie (Terre T Version)	Personal and the Pizzas	Live on WFMU's Cherry Blossom Clinic - May 7		79563	1
Similar_3	17528	VS			I Can Read	Personal and the Pizzas	LIve on WFMU's Cherry Blossom Clinic 7/25/2009	0.95	79563	1
Similar_4	115743	VS			Cat Girl	Church Bats	Live on WFMU's Three Chord Monte with Joe Belock - February 9		79563	1
Similar_5	87513	S			Protection Circle	Burnt Ones	Live on WFMU's The Evan "Funk" Davies Show - July 17		79563	1
Main	141273	Main	https://melody.dvstr.net/song/141273		Notes on a Fesival (Take me home Emily				141273	1
Similar_1	66924	D			Sinister Psyche	Tab & Anitek	Tab & Anitek: Freakout Tent	0.93	141273	1
Similar_2	83455	D			Jason's List	Blanche Blanche Blanche	Wink With Both Eyes	0.93	141273	1
Similar_3	131939	S			Rreth e qark beratit	Choban Elektrik	Live at Golden Festival 2016	0.93	141273	1
Similar_4	7895	S			Necrophilia	Box Elders	Live at WFMU on Choking On Cufflinks 1/24/09	0.93	141273	1
Similar_5	46331	D			8	La Chinoise	La Chinoise	0.92	141273	1
Main	107407	Main	https://melody.dvstr.net/song/107407	Sound Effects	miXmi	Kosta T	NL	1	107407	1
Similar_1	107407	VS			miXmi	Kosta T	NL	1	107407	1
Similar_2	114135	VS			miXmi	Kosta T	NL	1	107407	1
Similar_3	114134	VS			NL	Kosta T	NL	0.95	107407	1
Similar_4	113211	VS			NL  by Kosta T	Castello di Trokai	NL	0.95	107407	1
Similar_5	107406	S			NL	Kosta T	NL	0.95	107407	1
Main	133148	Main	https://melody.dvstr.net/song/133148	Soundtrack	Spaces of L...	Kosta T	Soul Sand	1	133148	1
Similar_1	131220	VS			Spaces of L...	Kosta T	Soul Sand	1	133148	1
Similar_2	147067	VS			Spaces of L	Kosta T	Relax Violin	0.99	133148	1
Similar_3	117740	S			CHASHI'H2O  by Kosta T	Castello di Trokai	X-LION	0.95	133148	1
Similar_4	107498	D			Adventure Swimming	Unthunk	The Anechoic Experience	0.95	133148	1
Similar_5	149978	VS			????????? ??? ????	Kosta T	Relax Violin	0.95	133148	1
Main	104652	Main	https://melody.dvstr.net/song/104652	Funk	and a 21st century lullaby	another cultural landslide	last days last days	1	104652	1
Similar_1	149601	VS			The Locks	The Hathaway Family Plot	Mechanics in the Age of Artistic Reproduction	0.93	104652	1
Similar_2	82355	N			A Dove She Was and a Tiger	Janne Nummela	Kosmoskalevala	0.93	104652	1
Similar_3	36568	D			Fehler!	Kommissar Hjuler	Blue Orchid	0.93	104652	1
Similar_4	63269	S			MIX VII	LIL	Continuum In Five Pieces-Performance of Sylwia Gorak and Jaroslaw Misiewicz-Remixed by LIL	0.93	104652	1
Similar_5	145646	S			Isn't It Beautiful	Trip.Logic	Here and Now	0.92	104652	1
Main	39730	Main	https://melody.dvstr.net/song/39730	Spoken	Disciple of Discipline	Matthew Sforcina	Pillar of Light	1	39730	1
Similar_1	98765	S			Splinters in my Ears	ABSRDST	Show Yourself Spirit Fox	0.93	39730	1
Similar_2	55359	S			Courtesy of Steven Wright (What do batteries run on? Remix)	Garmisch	The EPs XE	0.92	39730	1
Similar_3	110761	D			Chapter II	The Impossebulls	Slave Education XE	0.92	39730	1
Similar_4	59471	S			Breakfast With Tiffany	Broke For Free	Grass Hop	0.92	39730	1
Similar_5	23512	S			Daje De Zion	Pierlo	Saturday Night Sleeper	0.91	39730	1
Main	35667	Main	https://melody.dvstr.net/song/35667	Audio Collage	Blown My Antiquated System Part 2	Really Happening	This Is Really Happening Volume 1	1	35667	1
Similar_1	117657	S			Marcel Duchamp	AG Davis & Jaan Patterson	The Interviews [AG Davis Sessions]	0.94	35667	1
Similar_2	980	S			Track 03	Jailberg	Thee Haunted Cobblestone Sunset Concert Series #5	0.94	35667	1
Similar_3	30011	S			Intriguing shit take 2	The I Forgot	This is the New Yeah!	0.93	35667	1
Similar_4	138198	S			Sho Analytics Report	Junichi Usui	A weird person's guide to Junichi USUI	0.93	35667	1
Similar_5	119565	S			Whiskey Wine Woman	Iron Metal	Iron Metal I/Rock on the Hole	0.93	35667	1
Main	21519	Main	https://melody.dvstr.net/song/21519	Punk	Made to Die	The Axemen	Live at WFMU on Brian Turner's show 11/24/2009	1	21519	1
Similar_1	82872	S			Nothing's Changed	Ugly Parts	Live on WFMU's Distort Jersey City with Deed Runlea - April 17		21519	1
Similar_2	91069	S			Alian Heart	Magnets	Live on WFMU's Distort Jersey City with Deed Runlea - Aug 28		21519	1
Similar_3	101120	S			Vigil	Flagland	Live on WFMU's Beastin' the Airwaves! with Keili: Feb 21		21519	1
Similar_4	15758	VS			Jonny's in Jail	Jonny Chan and the New Dynasty 6	Live at WFMU on the Cherry Blossom Clinic 6/20/09	0.96	21519	1
Similar_5	117146	VS			Keep Your Stupid Dreams Alive	The Prefab Messiahs	Keep Your Stupid Dreams Alive	0.96	21519	1
Main	133272	Main	https://melody.dvstr.net/song/133272	Post-Rock	Anger	Movie Theater	Love Letter	1	133272	1
Similar_1	91361	S			Samervind	BRIGAND	ZAPLEŠIMO GREŠNICI	0.92	133272	1
Similar_2	145112	S			Pliant Fur...	Hermelin	Hermelin	0.92	133272	1
Similar_3	142320	S			Down	J Hacha de Zola	Escape From Fat Kat City	0.92	133272	1
Similar_4	120517	S			To co so mnou zije v byte	Kotú?e DM	Z EP Koniec sveta nikdy nepride	0.92	133272	1
Similar_5	83343	S			Burn Motherfucker	TIGERBERRY	Burn Motherfucker (Single		133272	1
Main	59324	Main	https://melody.dvstr.net/song/59324	Lo-Fi	Ill never trap your memory	laura mura & the Seven Dwarves	My bootleg	1	59324	1
Similar_1	69326	S			El Mundo de Perfecto	Mike Viola	Live at WFMU on Pseu's Thing With A Hook		59324	1
Similar_2	55318	D			Unknown	Helen Southall	Hand-Rolled Oblivion	0.94	59324	1
Similar_3	38834	S			Sally Gardens	Sláinte	Sláinte Mohr	0.94	59324	1
Similar_4	3533	S			New Spell	Cryptacize	Live at WFMU on Liz Berg's Show on 6/13/2008	0.94	59324	1
Similar_5	117052	D			4 Allegro_part_2 (Fantasia in C minor K 475 by W. A. Mozart)	NoLogic	Masters Remastered	0.93	59324	1
Main	56740	Main	https://melody.dvstr.net/song/56740	Field Recordings	The Letter C Dreams of a Big Night Out	Cagey House	Classwar Karaoke - 0016 Survey	1	56740	1
Similar_1	112160	N			Friôou á útjaôri Reykjavik ur borgar eftir hita bylgja og geislavirkni á agnir	Gabrielleschi	Sound Interpretation: Reykjavík	0.93	56740	1
Similar_2	54473	D			Souba	Solo Dja Kabako	Solo Dja Kabaco	0.92	56740	1
Similar_3	35213	N			Exú	Terrero De Jesus	Terrero De Jesus	0.92	56740	1
Similar_4	112099	S			Empty Streets	Sacha Rush	Current Playlist	0.92	56740	1
Similar_5	55358	S			The Cultural History of the Penis (A Question of Length Remix)	Garmisch	The EPs XE	0.92	56740	1
Main	47469	Main	https://melody.dvstr.net/song/47469		Eaters of the Dead	Elks	Live on WFMU with Marty McSorley		47469	1
Similar_1	47468	VS			The Northern Bane	Elks	Live on WFMU with Marty McSorley		47469	1
Similar_2	47464	VS			Destined for the Sun	Elks	Live on WFMU with Marty McSorley		47469	1
Similar_3	47470	VS			Fall of the Starchitect	Elks	Live on WFMU with Marty McSorley		47469	1
Similar_4	47466	VS			Blood Runs in Rivers	Elks	Live on WFMU with Marty McSorley		47469	1
Similar_5	47471	VS			Weed Wolf	Elks	Live on WFMU with Marty McSorley		47469	1
Main	33881	Main	https://melody.dvstr.net/song/33881	Noise	Piste 27	OsO El roTo	on a poulex	1	33881	1
Similar_1	136666	S			Manantial	In Vitro	Axolotl	0.91	33881	1
Similar_2	135255	N			Future Journeys (Silent Night Mix)	Ars Sonor	Future Journeys	0.9	33881	1
Similar_3	27831	S			Prepared Piano Piece III	Lezet	Caged?	0.9	33881	1
Similar_4	147347	S			Haunting Memories	Ars Sonor	The Unborn	0.9	33881	1
Similar_5	147813	N			11 respiration	Bauchamp	Danse contemporaine librairie	0.9	33881	1
Main	17417	Main	https://melody.dvstr.net/song/17417	Psych-Folk	Aurelia	Theo Angell	Live at WFMU's Day for Night with Maria Levitsky on 07/22/09	1	17417	1
Similar_1	25793	D			Ackpe	S.A.D.O. (Società Anonima Decostruzionismi Organici)	La Differanza	0.93	17417	1
Similar_2	67473	S			A Day To Forget	Ant Neely	Not Fit For Human Consumption	0.92	17417	1
Similar_3	37044	S			Bare To The Bone	John Bellows	Live @ WFMU on Liz Berg's Show		17417	1
Similar_4	105617	D			La Dune 1	Water Sark	Water Sark / Charlene Darling - Split tape	0.92	17417	1
Similar_5	48246	S			Break	Stray Dogg	Almost	0.92	17417	1
Main	48497	Main	https://melody.dvstr.net/song/48497	Krautrock	Newmexico	A Very Clever Robot	A Daring 160 r.p.m.	1	48497	1
Similar_1	35723	S			Untitled	Floppy Ghost Arm	Four Track Attack	0.91	48497	1
Similar_2	128592	D			A Deeper Sea v.9 (I)	Seth Guy	Classwar Karaoke - 0032 Survey	0.91	48497	1
Similar_3	95413	D			Omophagia	Sparagmos	III	0.91	48497	1
Similar_4	44087	N			Cuicatl	Feu Machin	Huehueteotl (Heia Sun		48497	1
Similar_5	71885	N			Teeth & Claws Sharpened On Centuries Of Corpses	The Unnameable	Graves Are Not Harde To Digg		48497	1
Main	68214	Main	https://melody.dvstr.net/song/68214	Jazz: Vocal	Balkan improvisation	Jazz at Mladost Club	Jazz Night	1	68214	1
Similar_1	66771	D			Bike	No One and the Somebodies	Live at WFMU on Beastin the Airwaves March 25th 2012	0.93	68214	1
Similar_2	125368	S			Contraband	Big Mean Sound Machine	Live on WFMU's Transpacific Sound Paradise: Sep 19		68214	1
Similar_3	106382	D			To the bouncer who thinks Ric Okasek fucked over his career	Glass Boy	Diligencia	0.93	68214	1
Similar_4	71374	S			Fat-fast	Oprachina	The Jazz Farm	0.93	68214	1
Similar_5	1196	D			2 Blonde Braids	Mount Eerie	Seven New Songs	0.93	68214	1
Main	46066	Main	https://melody.dvstr.net/song/46066	Electroacoustic	daRundada Sys	suRRism	Peak the Source Vol.3	1	46066	1
Similar_1	46066	VS			daRundada Sys	suRRism	Peak the Source Vol.3	1	46066	1
Similar_2	122153	VS			daRundada Sys	suRRism	Ergo Protagonists	1	46066	1
Similar_3	143348	N			The Birth of Sol 3	Ars Sonor & Total E.T.	Timethod II	0.92	46066	1
Similar_4	122601	D			Hverir Geothermal Area	The Gateless Gate	Landslag Norður Íslands (The Landscape of North Iceland)	0.92	46066	1
Similar_5	84840	S			Sometimes they come back	Pk jazz Collective	Summa Technologiae	0.91	46066	1
Main	64130	Main	https://melody.dvstr.net/song/64130	Ambient Electronic	Euphotic Zone	Trills	Best Of 2006-2011	1	64130	1
Similar_1	63605	S			Subwrack (Jimmy Penguin Remix)	Mitoma	Interstellar : Remixes	0.92	64130	1
Similar_2	136225	S			I Really Adore You	Severin	Severin	0.92	64130	1
Similar_3	136780	S			Harsh Times	D SMILEZ	Heartache	0.91	64130	1
Similar_4	146292	N			Human Beacon(s)	Convivial Cannibal	Necktar Volume 6	0.91	64130	1
Similar_5	59613	S			Afrodita	Vate	Vitam	0.91	64130	1
Main	43111	Main	https://melody.dvstr.net/song/43111	Radio Art	In the Night	Frump! Strumpet! Strife!	Frump! Strumpet! Strife!	1	43111	1
Similar_1	10004	S			Dreadful Heart (Live)	Thee Oh Sees	Live @ Yerba Buena Center for the Arts	0.93	43111	1
Similar_2	4094	D			Vida Propia	Polka Madre	Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008	0.92	43111	1
Similar_3	15882	S			Grandma's Tears	Silver Pines	Live at WFMU on This is the Modern World 7/2/09	0.92	43111	1
Similar_4	150557	D			Live at Golden Festival 2017	Pontic Firebird	Live at 2017 Golden Festival	0.92	43111	1
Similar_5	64493	D			Bite Your Butt	Jigglers	Live at WFMU on Three Chord Monte May 1st 2012	0.92	43111	1
Main	45353	Main	https://melody.dvstr.net/song/45353	Loud-Rock	Alien 5	Alien Whale	Live CDR (Recorded 2009 at Zebulon & Silent Barn)	1	45353	1
Similar_1	55907	S			Spectral Void	Alan Watts	Live at WFMU on Beastin' the Airwaves with Keili on October 16		45353	1
Similar_2	104086	S			The Best VPN So Far	Carsick Cars	Live on WFMU's 100% Whatever with Mary Wing - April 6		45353	1
Similar_3	63050	S			Teenager	CAVE	Live at OCCII	0.92	45353	1
Similar_4	51567	S			some days	Dustdevil & Crow	... and chiang tzu dreamed that he was me	0.92	45353	1
Similar_5	67162	S			Hisko Detria	Hisko Detria	Static Raw Power Kraut (demo)	0.92	45353	1
Main	146065	Main	https://melody.dvstr.net/song/146065	Latin America	NOTAVALIABLE	Ervalizer	DE4VIDA volumen 1	1	146065	1
Similar_1	1484	S			Feeder	Rainbro	Vectors	0.92	146065	1
Similar_2	113287	N			Rock de las Cavernas	Los Margaritos	Rockanrolandia	0.92	146065	1
Similar_3	90842	S			Phonologic	David Evans	Domestic Cinema	0.92	146065	1
Similar_4	82166	S			Mod 205	Richard Jonas	94'-95' Protracker Selection.	0.91	146065	1
Similar_5	87167	S			these rocks are my home	Secret Boyfriend	Skin On The Clock	0.91	146065	1
Main	14167	Main	https://melody.dvstr.net/song/14167	Drone	Amon Hen	Dielectric Drone All-Stars	Dr. One	1	14167	1
Similar_1	113180	S			Who	Spin Day	Spin Day and the Emotional Godfather	0.94	14167	1
Similar_2	92198	D			A Thousand Skins (Part 1) (No Vocals)	Josh Woodward	Ashes	0.93	14167	1
Similar_3	126455	S			black walnut vigil	The John Barry Conception	Ballyhack pitzer	0.92	14167	1
Similar_4	108096	D			HELOTRY / FREEDOM OF THE SEAS	Health&Beauty	The Retch		14167	1
Similar_5	4450	D			Adventures of Castle One	Twi the Humble Feather	Live at WFMU on Bethany Ryker's Show on 10/5/2008	0.91	14167	1
Main	150695	Main	https://melody.dvstr.net/song/150695	Free-Folk	????????? ?? ????????	Kosta T	??????	1	150695	1
Similar_1	145670	VS			?? ?? ??????	Kosta T	???	1	150695	1
Similar_2	150695	VS			????????? ?? ????????	Kosta T	??????	1	150695	1
Similar_3	151718	VS			????????? ?? ????????	Kosta T	??????	1	150695	1
Similar_4	147229	VS			?????? ??? ?????	Kosta T	?????	1	150695	1
Similar_5	133192	VS			??????.....	Kosta T	?????...	0.97	150695	1
Main	123745	Main	https://melody.dvstr.net/song/123745	Noise-Rock	Hand of Glory	Finished	Live at Foo Fest 2015	1	123745	1
Similar_1	123744	S			Dirty Little Fella	Finished	Live at Foo Fest 2015	0.94	123745	1
Similar_2	123746	S			Jane Err	Finished	Live at Foo Fest 2015	0.93	123745	1
Similar_3	65415	N			Jelena	Paniks	Ethnotica	0.92	123745	1
Similar_4	52008	S			Think	The Men	Live at WFMU on Brian Turner's Show on August 2		123745	1
Similar_5	123747	S			Slomo Homo	Finished	Live at Foo Fest 2015	0.91	123745	1
Main	34378	Main	https://melody.dvstr.net/song/34378	Psych-Rock	Many More Melting- The When McGruff Was King	Homemade-LoFi-Psych	HLFP #4 Sound Explosions	1	34378	1
Similar_1	28759	D			The dance	Los Llamarada	Soundliketrains (2002-2004)	0.94	34378	1
Similar_2	64294	S			(Shuffling Towards) Art's Holy Shrine	The New Mystikal Troubadours	III	0.93	34378	1
Similar_3	115794	S			Untitled 05	Dunk Tank	Live on Infinite Distortion: Feb 4	0.93	34378	1
Similar_4	140548	N			Funeral con piñata	T3r4t0m4	La rendición de las piñatas mutantes	0.92	34378	1
Similar_5	37696	S			petite morte	PEÜR	singles	0.92	34378	1
Main	10970	Main	https://melody.dvstr.net/song/10970	Bluegrass	I Have Found a Way	Jacob Henry &amp; Bill Jolliff	Music From the True Vine 2002	1	10970	1
Similar_1	69317	S			Primary Care Giver	Mike Viola	Live at WFMU on Pseu's Thing With A Hook		10970	1
Similar_2	3884	S			Rainbow	Matt Baldwin	Live at WFMU on Rob Weisberg's Show on 9/6/2008	0.9	10970	1
Similar_3	929	D			Jack Duggins 2008	Jad Fair	mp3	0.9	10970	1
Similar_4	105888	S			Off The Main Drag	Leif Vollebek	Live on WFMU with Irene - May 19		10970	1
Similar_5	84012	S			Virgin Mary Had A Baby Boy	Ed Trickett	Old Songs	0.9	10970	1
Main	38324	Main	https://melody.dvstr.net/song/38324	Electro-Punk	Bonaparte live at Pacific Parc Who Took the Pill	Bonaparte	Live at Pacific Parc 17/01/2009	1	38324	1
Similar_1	136429	N			The Allentown Ocean Good Times Band- Live @ Alternative Gallery- Allentown				38324	1
Similar_2	53719	S			Bonaparte live at Pacific Parc	Bonaparte	Live at Pacific Parc 17/01/2009	0.96	38324	1
Similar_3	27442	S			Taking Care Of Business Like The DOA Video	1-Speed Bike	Pashto Translator Needed	0.96	38324	1
Similar_4	53720	S			Bonaparte live at Pacific Parc	Bonaparte	Live at Pacific Parc 17/01/2009	0.96	38324	1
Similar_5	53718	S			Bonaparte live at Pacific Parc	Bonaparte	Live at Pacific Parc 17/01/2009	0.96	38324	1
